date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:16	29878/29878	---M--	200	added ('OK')	image/jpeg	etag:%22a0aeb57a5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img3.jpg	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/product/product-img3.jpg	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:17	1712/1712	---M--	200	added ('OK')	image/png	etag:%22f06aefeaee91d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/insure-btn-arrow.png	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/sheet/insure-btn-arrow.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:17	56236/56236	---M--	200	added ('OK')	image/png	etag:%229cd9dd7b5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/index/example-1.png?img=20181023_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/index/example-1199a.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:18	47619/47619	---M--	200	added ('OK')	image/png	etag:%22c228af7b5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/index/example-2.png?img=20181023_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/index/example-2199a.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:18	3342/3342	---M--	200	added ('OK')	image/png	etag:%228ddd27b5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/not-support/chrome.png?img=20160511_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/not-support/chrome237d.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:19	2337/2337	---M--	200	added ('OK')	image/png	etag:%22e8c007b5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/not-support/firefox.png?img=20160511_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/not-support/firefox237d.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:19	1812/1812	---M--	200	added ('OK')	image/png	etag:%22be101c7b5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/not-support/ie.png?img=20160511_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/not-support/ie237d.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:19	3545/3545	---M--	200	added ('OK')	image/png	etag:%22cee7f27b5992d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/not-support/safari.png?img=20160511_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Content/img/not-support/safari237d.png	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:20	2563/2563	---M--	200	added ('OK')	application/x-javascript	etag:%220b0e426fa91d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/js/tracking.js?js=20181023_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/js/trackinged94.js	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:21	95981/95981	---M--	200	added ('OK')	application/x-javascript	etag:%2210e75671f691d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/plugin/jquery/jquery.min.js?js=20181023_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/plugin/jquery/jquery.mined94.js	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:21	29509/29509	---M--	200	added ('OK')	application/x-javascript	etag:%224012884bf991d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/js/factory.js?js=20181023_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/js/factoryed94.js	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
09:40:21	12487/12487	---M--	200	added ('OK')	application/x-javascript	etag:%22a0e08c53fa91d41:0%22	https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/js/common.js?js=20181023_01	C:/My%20Websites/iCarry/www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Scripts/js/commoned94.js	(from https://www.cathaylife.com.tw/ts/web/ext/pages/onlineExclusive/icarry/Views/Home/Index.html)
